,name,type,price,expert_score,user_rating,distillery_loc,description,age,abv,style,cask,review,smoky,peaty,spicy,herbal,oily,full-bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
1790,"
Centennial Limited Edition Canadian Whisky
",Canadian,"['cost-2', 'spirit-cost']","
85

",2.93,"
Highwood // Alberta, Canada
",Highwood Distillery distilled this whisky using soft prairie winter wheat. It’s then aged 10 Years in charred oak barrels. Winter wheat is planted in the fall where it germinates before the growing process is frozen during the winter. In the spring it picks up where it left off meaning it’s ready to be harvested to make whisky that much sooner. Note:  This is not currently available in the U.S.,NAS,40.0,"DISTILLED IN CANADA AND AGED IN BARRELS FOR AT LEAST THREE YEARS; OFTEN (BUT NOT ALWAYS) CANADIAN WHISKIES ARE BLENDS OF CORN, BARLEY, AND RYE WHISKIES WHICH WERE DISTILLED AND MATURED SEPARATELY. TRADITIONALLY, CANADIAN WHISKEY IS CALLED “RYE”, ALTHOUGH NO MINIMUM PERCENTAGE OF RYE-GRAIN WHISKY IS REQUIRED IN A BLEND.",charred oak,"""This tall sleek bottle offers up a lustrous whisky full of delicate butterscotch and dry grasses. It’s velvety in the mouth with no trace of heat. Creamy vanilla and tantalizing oak lead into just a sprinkle of rye spice. The finish is long with a final blast of honey that also tingles the side of the mouth without being sugary. The blender of this whisky really pulled back the reigns to produce a skilfully balanced and restrained wheat whisky.""",40,40,50,0,0,35,40,50,0,0,50,10,30,35
1791,"
McKenzie Bourbon 
",Bourbon,"['cost-2', 'spirit-cost']","
85

",3.03,"
Finger Lakes Distilling // New York, USA
","The trend of experimentation seems to be ever more prevalent in young American whiskey brands and McKenzie is no exception.  The mashbill is seemingly familiar (70% corn, 20% rye and 10% malted barley) however, the corn and rye are sourced from local area farmers. Then, after going through a double pot-still distillation, it is aged a minimum of 3 years in charred American oak. ",NAS,45.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
",53-gallon American white oak,"""You'll be greeted with a slight astringent zing upon first nosing that quickly opens up into a bouquet of lemon zest, white pepper, dried tangerine sweetness, and a hint of burnt sugary vanilla. After a few sips this whiskey starts to sing with more lively citrus notes, even a note of bright green apple that later tappers off to a pleasant warming, buttery, dried fruit vibe with hints of cinnamon and cardamom. A light-hearted and enjoyable dram, great for the spring and summer months ahead. """,0,0,50,0,0,35,30,65,0,0,65,0,45,0
1792,"
Mackmyra Svensk Rök
",Single Malt,"['cost-3', 'spirit-cost']","
85

",3.69,"
Mackmyra Svensk Whisky // Sweden
","Launched in 2013, Svensk Rök translates to ""Swedish Smoke"" and is the first smoky single malt whisky from Mackmyra. The traditional Swedish way of smoking food was over burning juniper twigs, so for this expression, juniper wood is used to malt the barley. After maturation in Swedish oak barrels, it's bottled without an age statement at 46.1% ABV. Note: This is not available in the US. ",NAS,46.1,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",Swedish Oak,"""The whisky has a delicious citrusy nose with smoky hints as well as vanilla and toffee. The palate continues to feature those earthy notes but adds a very spicy note, all wrapped into a sweet vanilla cloud. The finish is smoky and woody. Overall, this Mackmyra expression a definite must-try for any Islay whisky enthusiast willing to try something new!""",75,75,70,30,30,30,35,40,20,20,70,40,40,20
1793,"
Mackmyra Brukswhisky
",Single Malt,"['cost-2', 'spirit-cost']","
85

",3.25,"
Mackmyra Svensk Whisky // Sweden
","Mackmyra Brukswhisky was first introduced to the market in 2010 is now part of the Swedish distillery's core range. In international markets, it's sold as ""The Swedish Whisky."" A bottle redesign in 2012 features playful sketches drawn years ago by the owners during their initial planning stages for the distillery. This whisky combines barrels of single malt in ex-bourbon, ex-sherry, and new Swedish oak, with a touch of smoky malt whisky. It's bottled at 41.4% ABV.",NAS,41.4,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.","Ex-Bourbon, Ex-Sherry, and Swedish Oak","""The sweet side of the malt is showing itself in the nose with notes of green apple, pear, banana, citrus and more gourmet flavours including honey, custard cream, vanilla, butterscotch. The palate, however, is rather different: fresh, grassy and peppery. A pleasant duality in this dram then and overall, an easy-drinking nectar to drink in good company!""",10,10,80,75,50,50,45,55,10,10,60,60,65,20
1794,"
Medley Brothers Kentucky Straight Bourbon Whiskey
",Bourbon,"['cost-2', 'spirit-cost']","
85

",3.21,"
Medley Bros. // Kentucky, USA
","Medley Brothers Kentucky Straight Bourbon is the product of Charles Medley and his son Sam, who are better known for producing Wathen’s Single Barrel. This is an NDP (Non-Distiller Producer) whiskey coming from Kentucky. The mash bill is 77% corn, 10% rye, and 13% malted barley.",NAS,51.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""A healthy whiff of this will give you fresh rye seeds, canned corn, and some light spice--scents you might find in a pastrami on rye. The palate has a juicy texture focused mostly around the rich corn. The rye and wood spices harmonize well to give a warm mid palate. The finish is slightly bitter with a strong note of dark cocoa.""",0,0,70,0,10,70,70,50,0,0,30,0,50,0
1795,"
Cardhu 15 Year
",Single Malt,"['cost-3', 'spirit-cost']","
85

",3.48,"
Cardhu // Speyside, Scotland
","A Speyside staple, Cardhu has a legacy spanning just under two hundred years. Starting under the name of Cardow Distillery, the distillery was originally created under John Cumming, an ex-convict who held was known for his illicit distilling. After the Excise Act of 1823, Cumming began to make whisky legally, and began a distillery that bears more history than most in Speyside, owned by spirit powerhouse and world known name Diageo. Note:  The 15-year bottling is not currently available in the U.S. ",15 Year,40.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",Used American oak,"""The nose opens with heavy spices mingled with chocolate and licorice before blending in with small fruits for a wonderful fruit-chocolate taste. A floral note follows to tangle through your senses leaving a green-scented sugar aroma. On the tongue, honey and spices come through very quietly, but grows over time to caress the cheeks. The chocolate makes a return on the finish with a fragrant floral and fruity following.""",5,5,35,15,5,10,45,55,5,5,70,15,65,60
1796,"
Sonoma County Distilling Co. West of Kentucky Bourbon No. 1
",Bourbon,"['cost-3', 'spirit-cost']","
85

",3.6,"
Sonoma County Distilling // California, USA
","Sonoma County Distilling prides itself in its ""grain to glass"" practices, with all production from fermenting to aging, bottling and labeling handled in house. West of Kentucky No. 1 is the first in the distillery's planned annual bourbon releases, made from a mash of yellow corn, unmalted rye and cherry-smoked barley twice distilled on direct flame in copper-pot stills. The bourbon is aged in small virgin casks for a year and change, then given an additional finish in full-sized, used whiskey barrels. ",NAS,47.8,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak, finished in used American whiskey barrels","""The used oak finishing does a lot for this young whiskey. The cherrywood smoking gives it an interesting sweet pipe-tobacco smoke aroma in the glass, then comes to play on the palate imparting fresh, ripe strawberry and raspberry flavors mixed with the barley's earthy funk. Maple syrup, bran flakes cereal, and a bit of burnt orange peel add to the intrigue. Finishes very peppery and hot, with sharp clove and allspice. """,50,50,40,20,10,60,60,70,0,0,20,15,40,5
1797,"
Deanston 18 Year
",Single Malt,"['cost-4', 'spirit-cost']","
85

",3.86,"
Deanston // Highlands, Scotland
","Master Distiller Ian MacMillan utilizes double-barreling to create this Highland single malt. After spending most of its time maturing in hogshead casks, the whisky then finishes in first-fill bourbon barrels from Kentucky. Released in 2015, it is non-chill-filtered and bottled at 46.3% ABV.",18 Year,46.3,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",Hogshead and first-fill Kentucky bourbon,"""Very fresh... Minty-fresh almost at first, with a hint of milk chocolate. There's room for some orchard fruits, as well as a touch of dried grass and ripe banana. The palate displays soft tannins which go hand in hand with lemon zest and oranges. There's a hit of fresh ginger too. Not very exciting or adventurous, but good whisky from Deanston nonetheless.""",0,0,20,20,30,40,30,20,0,0,35,15,25,10
1798,"
The Gifted Horse American Whiskey 
",Other Whiskey,"['cost-2', 'spirit-cost']","
85

",3.3,"
Orphan Barrel // USA
","The Gifted Horse is the latest in the Orphan Barrel project bottled by Diageo. This one is a bit of a departure from the previous ones that contained more mature whiskey. Funny story: it was originally intended to be a much younger blend of whiskey, however, the official story is a wee mishap occurred. A barrel of 17 year-old Bernheim distillery bourbon was ""accidentally"" mixed with younger whiskey. The final breakdown results in 38.5% Bernheim 17 year-old from when it was operated by United Distilleries, 51% 4 year-old high-rye bourbon, and 10.5% 4 year-old corn whiskey from MGP. ",NAS,57.5,"A spirit distilled from a mash of grain(s) at less than 95% ABV, bottled at no less than 40% ABV. The product must have characteristics, taste, and aroma generally attributed to whiskey","new, charred American oak","""Fresh, ripe, red apple and pear notes mixed with vanilla welcome the nose. However, they are not as strong on the palate, where they get somewhat muddied up with tart apricot, lemon, cashews and salty pretzels. Spices seem somewhat on the dull side, but there is a bit of allspice, cedar and nutmeg. Since it's such high proof, water is necessary to allow the flavors to mellow out. However, with or without water, everything falls a bit flat as it heads toward the finish. """,30,30,20,0,10,70,70,70,0,10,40,20,50,0
1799,"
Redemption Barrel Proof 8 Year Straight Rye
",Rye,"['cost-4', 'spirit-cost']","
85

",3.69,"
Redemption Whiskey // Indiana, USA
","Redemption Rye released a series of limited edition barrel-proof offerings. The lineup included three different ages, a 7-year, 8-year and 10-year old. All are the same 95% rye, 5% malted barley mashbill rye whiskey sourced from MGP. The 8-year old is bottled at a robust 121.5 proof.",8 Year,60.75,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""The nose is all big rye-spice up front. Underneath, find gingerbread cookies, dark brown sugar, vanilla, and cloves. The palate comes on heavy and hot. Get past that to find more vanilla and brown sugar, along with a somewhat creamy mouthfeel. There's a long, hot finish, with more cream and vanilla, as well as oak and spice. Cut it with water for a softer but still spicy profile.""",20,20,70,10,20,50,30,30,0,0,50,10,10,0
1800,"
Turley Mill Single-Barrel Cask-Strength Straight Rye 
",Rye,"['cost-3', 'spirit-cost']","
85

",3.25,"
KGB Spirits // (bottled in) New Mexico, USA
","Simeon Turley produced Taos Lightning Rye in the mid 1800s until his death during the Taos Pueblo Revolt in 1847. KGB spirits has resurrected the brand, and Turley Mill is the cask-strength version. It's selected from single barrels of either 4 and 5 year old whiskey with a 95% rye mash bill, with proofs ranging between 115-128 depending on the cask. ",NAS,57.5,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""Initially, the flavors of this whiskey are tightly clenched and difficult to separate. With some water, baked pumpernickel bread, dried fruits, and dark molasses emerge. A tart stripe of apricot and lemon peel cuts through it, with a subtle dose of cinnamon, nutmeg, pine cone, clove, and black pepper. A low trail of heat brings it into the finish and lingers in the throat; it is not tempered much with ice or water. """,10,10,40,20,10,80,80,70,0,0,20,20,30,0
1801,"
Nomad Outland Blended Whisky
",Blended,"['cost-2', 'spirit-cost']","
85

",3.76,"
Whyte & Mackay // (aged for some time in Spain), Scotland
",This blended whisky is a collaboration between Scotch blender Richard Patterson and sherry producer Gonzalez-Byass. It's a blend of grain and single malts aged in Scotland for 5-8 years with the blend spending at least 3 years together aging in Oloroso sherry butts. It is then shipped to Spain for additional year's aging in former Pedro Ximenez sherry casks.  Note:  This is currently not for sale in the United States.,NAS,41.3,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,finished in Pedro Ximenez casks,"""The sherry is massive on the nose, lending this whisky the aroma of marzipan, toasted almonds, and raisins. That big, sweet profile carries through to the taste, which is bursting with figs, dark chocolate, orange marmalade, and nuts. A whisky for fans of Spanish brandy.""",0,0,50,0,50,70,90,90,0,0,70,60,80,70
1802,"
Dark Northern Straight Rye Whiskey
",Rye,"['cost-3', 'spirit-cost']","
85

",3.63,"
Dark Northern // Washington, USA
","Dark Northern Rye Whiskey is distilled in Seattle, Washington from Dark Northern rye that was first introduced to Washington in the 1800's.  It is still grown today by local farmers in Skagit Valley, Washington and Willamette Valley, Oregon. Though it carries no age statement, as a straight rye it is aged a minimum of two years.  This is sold exclusively at the Fremont Mischief Distillery in Seattle.",NAS,40.0,"Mash bill at least 51% rye; aged in new, charred oak barrels.
",,"""Dark Northern rye was reportedly brought to Washington by Scandinavian settlers. Appropriately enough, this whiskey distilled from it is reminiscent of the kind of dark rye bread one might find on the table in a Nordic restaurant. It's delightfully roasty and a little bit spicy, with just enough time in barrel to be enjoyably sipped neat.""",20,20,30,10,40,30,40,20,0,0,20,0,0,0
1803,"
William Lawson's 13 Year 
",Blended,"['cost-3', 'spirit-cost']","
85

",2.93,"
William Lawson // Scotland
","William Lawson's is named for a 19th century blender at E & J scotch who was known to be quite the character. This blended scotch uses Macduff Glen Deveron as its primary base. Though it's an unpeated style, the whisky is finished in charred bourbon casks for a smokier depth. ",13 Year,40.0,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,ex-bourbon ,"""There's a lot going on here - tart apple, dried dates and figs, baked brown bread, toffee, cola spices, salty pretzels. It basically tastes like a boozy Christmas fruit cake, with a pleasant heat tingling the throat. The flavors are wound tightly neat, so it's recommended to sip this with a rock or at least a couple of drops of water to smooth them out more perceptively. """,15,15,30,5,0,80,80,70,0,10,40,20,60,10
1804,"
Wigle Organic Pennsylvania Bourbon
",Bourbon,"['cost-3', 'spirit-cost']","
85

",3.68,"
Wigle // Pennsylvania, USA
","Wigle Whiskey's Organic Pennsylvania Bourbon is the first bourbon distilled in Pennsylvania in over 40 years, stretching back to the closure of the former Michter's Distillery. Two versions are available, including a cask strength edition, and this one, bottled at 46% ABV. Wigle utilizes a mash bill of winter wheat and malted barley, along with Wapsie Valley corn, which is said to offer superior fermenting and more flavor, albeit with a lower alcohol yield during distillation due to its high protein content.",NAS,46.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
",small oak casks,"""Find a big dose of that Wapsie Valley corn on the nose. There's also a rich, sweet side replete with vanilla and caramel, and oak. The palate bursts open with spicier, drier notes, and plenty of smoke, paired with a rich dark brown sugar. There's more smoke on the finish and here it's reminiscent of a mesquite BBQ or jerky flavor, as well as final notes of chocolate. Add in an ice cube to accentuate an oaky, caramel strain that remains from start to finish.""",60,60,40,0,10,50,60,50,0,0,60,0,20,0
1805,"
Trail's End Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
85

",3.52,"
Hood River Distilling // Kentucky (bottled in Oregon), USA
",The base of Trail's End Bourbon is Kentucky straight bourbon aged for seven and eight years. This whiskey is then aged with staves of Oregon oak before being bottled at 90 proof.,NAS,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
",finished in Oregon oak,"""The aroma of Trail's End Bourbon suggests a fairly sweet whiskey with notes of raisins and corn. There's a lot of oak on this bourbon, which comes through as vanilla and toasted nuts, along with woody tannins. The taste is spicier than the nose suggests, which may appeal to those who like bourbons with a high-grain mash bill.""",0,0,40,10,30,40,25,20,10,10,30,10,20,10
1806,"
The Deveron 12 Year
",Single Malt,"['cost-2', 'spirit-cost']","
85

",3.59,"
The Deveron // Highlands, Scotland
",This was another whisky released this year (2015) by John Dewar & Sons as part of their ‘Last Great Malts of Scotland’ campaign. This is a Highland whisky produced at the MacDuff distillery on the eastern shore of the Deveron River. Before now most of their whisky went into Dewar's White Label.,12 Year,40.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",,"""There’s a humble elegance to this whisky. It has all the sensory pleasures of retiring to a small farm house. You stick your nose in and smell wet hay, a dab of honey in your morning oatmeal, and a pot of white flowers by the windowsill. You have to work at it but underneath the charming bouquet you’ll discover dry wood smoke, orchard fruit, and ground white pepper on the palate. All of this is cleansed at the end with a warm splash of Lapsang tea. The whole experience is light and fleeting of course, because the dram is gone and already a memory.""",30,30,0,15,10,45,45,20,10,0,20,0,45,35
1807,"
Highland 1995 20 Year (The Exclusive Malts)
",Single Malt,"['cost-4', 'spirit-cost']","
85

",4.0,"
The Exclusive Malts // Highlands , Scotland
","The Exclusive Malts is a collection of mature single malts bottled and released by The Creative Whisky Co Ltd from Impex Beverages. While most of their expressions reveal the sourced distillery, this malt is from an undisclosed Highland distillery. The liquid was placed in a first-fill ex-sherry butt No. 13 in March 1995 and bottled March 2015. ",20 Year,54.6,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-sherry ,"""Loads of caramel and orange peel on the nose and at first taste. There's a fun earthiness to it - with espresso, walnut and tobacco. The finish is somewhat abrupt with a pine needle note that makes this unusual and densely flavored whisky almost resemble a sweeter amaro. """,20,20,15,30,5,70,80,50,0,0,20,5,40,0
1808,"
Mosswood Apple-Brandy-Aged American Light Whiskey
",Other Whiskey,"['cost-2', 'spirit-cost']","
85

",3.38,"
Mosswood // (bottled and aged in California), USA
","Mosswood whiskeys are purchased from other distillers and then finished in unique casks in Berkeley, California. The whiskey for this expression is a light, primarily corn-based whiskey from Indiana, which was aged for seven years in used bourbon casks. Mosswood then aged this whiskey in a barrel that previously held apple brandy. Incidentally, a ""light whiskey"" is a whiskey which is distilled over 160 proof but under 190 proof (bourbon cannot be distilled over 160 proof for comparison). It may be aged in either used or uncharred new oak barrels.",NAS,46.0,"A spirit distilled from a mash of grain(s) at less than 95% ABV, bottled at no less than 40% ABV. The product must have characteristics, taste, and aroma generally attributed to whiskey",finished in ex-apple brandy casks,"""Compared to their coffee and sour ale barrel releases, the cask influence on the apple brandy aged Mosswood whiskey is relatively subtle. The apple notes are most evident on the nose and in the finish. In between you get a nice, enjoyable, light whiskey, the kind one might pour into a flask for an autumn walk in the woods.""",0,0,20,10,20,20,30,30,0,0,20,0,60,0
1809,"
Jefferson’s Reserve Groth Reserve Cask Finish
",Bourbon,"['cost-4', 'spirit-cost']","
85

",3.92,"
Jefferson's // Kentucky, USA
",Jefferson’s Reserve Groth Cask Finish Bourbon was aged six years in new American white oak barrels in Kentucky.  It was then finished for nine months in French oak barrels that once held Cabernet Sauvignon from Napa Valley’s Groth Vineyards.,NAS,45.1,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
",French oak former cabernet sauvignon barrels,"""The dark berry fruit of rich Napa Cabernet shows up right away in the nose and remains well integrated on the palate. There's plenty of rye spiciness intermingling with dates and dried fruit. The finish is long and luxurious, but despite the red wine influence, classic Kentucky bourbon flavors of corn, black cherry, and vanilla cannot help but be the star of the show.""",30,30,50,20,10,70,70,50,0,20,60,20,70,30
1810,"
Stranahan's Diamond Peak
",American Single Malt,"['cost-3', 'spirit-cost']","
85

",3.88,"
Stranahan's Whiskey // Colorado, USA
","Stranahan’s was founded in 2004 by Jess Graber and George Stranahan, owner of Flying Dog Brewery. This Colorado American Single Malt Whiskey is made entirely of barley. For the Diamond Peak bottling, select barrels are chosen after four years in char #3 barrels for the batch. The whiskey is then brought down to 94 proof with Colorado Rocky Mountain spring water. ",4 Year,47.0,"Made in the USA from 100% malted barley. Distilled at one distillery. Matured in oak casks no larger than 700L. Distilled to no higher than 160 proof (80% ABV). Bottled at 80 proof (40% ABV) or higher. (This is the proposed Standard of Identity by the American Single Malt Whiskey Commission.)

","new, charred American oak","""The Diamond Peak will remind you of all the desserts you cram in your mouth during the holidays. You quickly get aromas of taffy, peppermint, and powdered sugar. The light malt you taste up front is readily overtaken by spice cakes, caramel, and almond extract. Even the smoke is sweet. A nice dram for indulgence without the guilt afterwards.""",50,50,60,10,20,70,80,30,0,10,40,0,10,20
1811,"
Cooperstown Distillery Classic American Whiskey
",Other Whiskey,"['cost-2', 'spirit-cost']","
85

",2.77,"
Cooperstown Distillery // New York, USA
","This baseball-themed distillery bottles their Classic American Whiskey in a baseball shaped bottle. The mashbill is predominately corn, rye and malted barley. The whiskey is aged for 10 months in used bourbon barrels.
",NAS,45.0,"A spirit distilled from a mash of grain(s) at less than 95% ABV, bottled at no less than 40% ABV. The product must have characteristics, taste, and aroma generally attributed to whiskey",used bourbon barrels,"""There's a faint savory note on the nose that's reminiscent of cured meats. There's also some faint dark berries, and soy sauce. The palate shows well-integrated barrel and baking spices as the savory flavors linger and lead to a medium-long and charming finish. Aside from the lighter body, this whiskey shows more complexity than many of its American contemporaries of the same or similarly young age.
""",40,40,60,40,60,50,50,40,0,30,50,0,50,20
1812,"
Cooperstown Distillery Beanball Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
85

",3.25,"
Cooperstown Distillery // New York, USA
","The current release of this baseball-themed distillery's Beanball Bourbon is a blend of sourced whiskey from Indiana and the distillery's own whiskey. Previous releases of Beanball consisted of a 6-year Kentucky Straight Bourbon.
",NAS,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Aromas of cracked corn, mint, and buttered popcorn intermingle and play together nicely. There's a medium weight on the palate that carried with it flavors of oatmeal, vanilla, and barrel spice. The finish is longer than one would expect from young craft spirit.
""",30,30,70,40,10,50,50,40,0,20,50,0,20,20
1813,"
Snake River Stampede 100 Year Anniversary
",Canadian,"['cost-1', 'spirit-cost']","
85

",3.57,"
Indio Spirits // Canada, bottled in Oregon, Canada
","This sourced Canadian whisky was bottled in Oregon by Indio Spirits.  This bottling celebrates the centennial of the famed Snake River Stampede rodeo in Nampa, Idaho.  The whisky is initially aged from 4-8 years in former bourbon barrels before being finished in sherry casks for six months. 
",NAS,40.0,"DISTILLED IN CANADA AND AGED IN BARRELS FOR AT LEAST THREE YEARS; OFTEN (BUT NOT ALWAYS) CANADIAN WHISKIES ARE BLENDS OF CORN, BARLEY, AND RYE WHISKIES WHICH WERE DISTILLED AND MATURED SEPARATELY. TRADITIONALLY, CANADIAN WHISKEY IS CALLED “RYE”, ALTHOUGH NO MINIMUM PERCENTAGE OF RYE-GRAIN WHISKY IS REQUIRED IN A BLEND.",ex-bourbon & ex-Sherry,"""Although clothed in the rugged vestments of the western frontier, this is a surprisingly mellow, sweet whisky. The nose is full of floral notes, and the palate contains a lot of butterscotch, crème brûlée, vanilla custard, and chocolate. There's also an odd cotton-candy note, which is followed up by white pepper and a spearmint bitterness.
""",0,0,30,30,10,60,70,70,0,0,60,40,60,80
1814,"
George Washington Single Malt Whisky Limited Edition
",American Single Malt,"['cost-5', 'spirit-cost']","
85

",2.08,"
George Washington's Mount Vernon // Virginia, USA
","With the support of the Distilled Spirits Council of the United States, George Washington's circa 1798 distillery was reconstructed on the original site, based upon archaeological and historical evidence. In 2012, DISCUS, in cooperation with the Scotch Whisky Association, began a symbolic spirit-making collaboration at the distillery, at the suggestion of The Glenmorangie Co. This American single malt was distilled from 100% Scottish barley from Glenmorangie is the end product. The Limited Edition was distilled twice, aged in ex-bourbon barrels re-coopered in Speyside for two years and eight months, and finished in Madeira casks for four months.",3 Year,40.0,"Made in the USA from 100% malted barley. Distilled at one distillery. Matured in oak casks no larger than 700L. Distilled to no higher than 160 proof (80% ABV). Bottled at 80 proof (40% ABV) or higher. (This is the proposed Standard of Identity by the American Single Malt Whiskey Commission.)

","ex-bourbon, re-coopered in Speyside; finished in Madeira casks","""The nose is predominately dry, oaky and spicy, yet there's a hint of dark red fruits from its Madeira finishing. The palate offers a mellow honey and caramel sweetness, along with toffee, and more oak. The finish is relatively short, and dry, with spicy notes coming to the forefront and only an undercurrent of vanilla.""",20,20,50,10,20,50,40,40,0,0,30,10,20,0
1815,"
Scallywag Blended Malt
",Blended Malt,"['cost-3', 'spirit-cost']","
85

",3.51,"
Scallywag // Speyside, Scotland
","Casks from Speyside's well known distilleries such as Mortlach, Macallan, and Glenrothes are married together to produce this small batch whisky from Douglas Laing & Co. Matured in sherry butts and bourbon hogsheads, Scallywag whisky is non-chill-filtered and bottled at 46% abv. The name and bottle packaging was inspired by and features Master Blender Fred Laing's beloved Fox Terrier.",NAS,46.0,"Comprised of malted whisk(e)y from two or more distilleries; aged in barrels; if Scotch or Irish, must be aged for at least three years.","Sherry Butts, Bourbon Hogsheads","""The dried fruits often found in sherried whiskies are first to appear as you take a whiff, but it is blended nicely with a rich malt note as well. Very faint char smoke and some baking spices follow suit. The sherry notes don't overwhelm the whisky, but do lend a bit of a fruitcake quality to the dram. There's a slight oily character on the nose and the whisky itself is moderately full in the mouth. The finish has a little prickle of spices and tastes slightly bitter.  All in all, a pleasant, well-balanced whisky to enjoy and who can resist the cute Fox Terrier that adorns the label.  Note:  This is available in a cask-strength version, but this review is for the 46% ABV bottling.""",15,15,35,15,40,75,60,40,0,0,20,15,65,20
1816,"
Rock Town Arkansas Rye
",Rye,"['cost-2', 'spirit-cost']","
85

",2.81,"
Rock Town // Arkansas, USA
","This whiskey is made by a grain-to-glass distillery in Little Rock, Arkansas, where the rye used is grown within 125 miles. It's bottled at 46% ABV, and distilled from a mash bill with 52% rye, 38% corn and 10% malted barley (this differs from an earlier recipe which used 88% rye and 12% malted barley).",NAS,46.0,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","New, Charred American Oak","""The nose is medicinal and minty upfront, with rye spice and vanilla, along with some floral qualities. The palate showcases caramel, oak, cedar box, baking spices, rye, and light toffee. Find a resonating spearmint medicinal note on a short finish, with black pepper and buttery sweetness lurking in its wake. """,10,10,60,70,40,50,50,40,0,10,40,20,10,30
1817,"
Black Bull 21 Year (Duncan Taylor)
",Blended,"['cost-4', 'spirit-cost']","
85

",3.25,"
Duncan Taylor Black Bull // Scotland
","Black Bull 21 Year is a blend of malt and grain whiskies (ratio 55% malt to grain). These are selected mainly from distilleries in the Scottish Highlands, with some Speyside and Islay for additional character. Aged in oak (unspecified which kind), the youngest whisky in the blend is 21 years old.",21 year,50.0,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,,"""The sweet, creamy and cereal-like character of this scotch reminds of a soothing bowl of oatmeal with cinnamon sprinkled on top. A good hit of vanilla and oak with some brown sugar, orange zest and cashew nuts add to the experience. The finish is a tad abrupt, but not entirely rude.""",15,15,30,10,5,70,75,70,0,0,50,0,20,20
1818,"
Five & 20 Bourbon (SB)2BW
",Bourbon,"['cost-2', 'spirit-cost']","
85

",3.5,"
Five & 20 Spirits // New York, USA
","The mashbill consists of locally sourced grains: 70% corn, 15% rye and 15% barley malt.  This New York distillery also brews beer, makes wine under the name Mazza Chautauqua Cellars, and produces a variety of spirits and cordials like limoncello and eau-de-vie. Their bourbon whiskey is aged 2 years in small, charred American white oak barrels. Note:  Batch 01 was used for this review. 
",,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Although the nose is a little muted, the palate shows a fair amount of complexity for such a young product. There's a nice rye backbone that carries flavors of ginger, vanilla, along with some delightful savory flavors like pumpernickel, cigar smoke, and maybe even some dill pickle. This bourbon would sit comfortably next to your favorite sandwich.  
""",40,40,80,40,20,60,50,50,0,0,50,20,30,20
1819,"
Teeling Single Malt Irish Whiskey
",Single Malt,"['cost-2', 'spirit-cost']","
85

",3.46,"
Teeling // Ireland
","This is the third release in Teeling's premium range of whiskey, consisting of 100% malted barley of varying ages as old as 1991. The whiskey was vatted in a combination of different wine casks - port, madeira, white burgundy and cabernet sauvignon - and is bottled with no chill filtration.",NAS,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-sherry/madeira/port/white burgundy/cabernet sauvignon,"""As one can imagine with a blend consisting of all wine cask aged whiskeys, it tastes very oaky with cashew nuts and vanilla. The influence of the various wines contribute strong fruity notes of apricot, mango and tart berries as well as floral Earl Grey tea notes. It's a bit overly complicated (in Yiddish ""ongepotchket') and sweet for everyday drinking, but it has a pleasant, smooth finish and would work well as a dessert accompaniment.""",5,5,0,0,5,70,75,85,0,0,40,20,70,20
